,,,,
,,,,
,,,,
,,,,
,,,,
﻿,,,,
Axis,Energy,Elements=,201,
,,,,
C:\2025XPSdata\2025-04-08\Experiment\2025-03434_X-Ray009 400um - FG  ON\3\3.DATA\F1s Scan.VGD,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Binding Energy (E),,,,Backgnd.
eV,,Counts / s,,Counts / s
698.08,,31492.1,,0
697.98,,31481.6,,0
697.88,,31939.3,,0
697.78,,31487,,0
697.68,,31256.3,,0
697.58,,31650.9,,0
697.48,,31607.4,,0
697.38,,31259.6,,0
697.28,,31805.1,,0
697.18,,32151.1,,0
697.08,,30833,,0
696.98,,30861.9,,0
696.88,,30884.3,,0
696.78,,30842.3,,0
696.68,,31280.3,,0
696.58,,30621.6,,0
696.48,,30613.7,,0
696.38,,30862.9,,0
696.28,,30455.6,,0
696.18,,30251.8,,0
696.08,,30224.3,,0
695.98,,30371.3,,0
695.88,,30491.1,,0
695.78,,30699.7,,0
695.68,,30133.3,,0
695.58,,30712.8,,0
695.48,,30709.1,,0
695.38,,30518.6,,0
695.28,,29900.1,,0
695.18,,30020.2,,0
695.08,,30544.8,,0
694.98,,30377.1,,0
694.88,,30087.3,,0
694.78,,30188.5,,0
694.68,,30321.1,,0
694.58,,30317.6,,0
694.48,,30139.8,,0
694.38,,30062.2,,0
694.28,,30295.4,,0
694.18,,29689.7,,0
694.08,,30065.9,,0
693.98,,30444,,0
693.88,,29331.3,,0
693.78,,29776.4,,0
693.68,,29423.3,,0
693.58,,29624.4,,0
693.48,,30193.1,,0
693.38,,30073.9,,0
693.28,,30128.4,,0
693.18,,29589.9,,0
693.08,,30044.4,,0
692.98,,29699.8,,0
692.88,,30004.9,,0
692.78,,29226.1,,0
692.68,,29763.5,,0
692.58,,29953.5,,0
692.48,,29880.8,,29816.3
692.38,,29665.3,,29705.2
692.28,,29818.3,,29683.5
692.18,,29451.4,,29683.3
692.08,,29601.7,,29676.4
691.98,,30161.3,,29665.3
691.88,,29801.8,,29655.9
691.78,,29700.5,,29655.9
691.68,,29014,,29655.8
691.58,,30153.9,,29655.8
691.48,,29736.9,,29655.8
691.38,,30114.6,,29655.8
691.28,,29751.1,,29655.8
691.18,,29923,,29655.8
691.08,,30360.4,,29655.7
690.98,,29898.5,,29655.7
690.88,,29568,,29655.7
690.78,,29942.9,,29655.6
690.68,,30290.7,,29655.6
690.58,,30127.9,,29655.6
690.48,,30403.7,,29655.5
690.38,,30013.6,,29655.5
690.28,,30079.4,,29655.4
690.18,,29933.6,,29655.4
690.08,,29919.2,,29655.4
689.98,,30379.1,,29655.3
689.88,,30221.3,,29655.3
689.78,,30522.8,,29655.2
689.68,,30557.9,,29655.1
689.58,,30732.6,,29655
689.48,,31381.1,,29654.9
689.38,,30480.6,,29654.8
689.28,,31683,,29654.7
689.18,,31644.3,,29654.5
689.08,,31944.4,,29654.3
688.98,,32396.5,,29654.1
688.88,,33490.1,,29653.8
688.78,,33972.4,,29653.4
688.68,,34366.5,,29653
688.58,,35639.3,,29652.6
688.48,,36188.9,,29652
688.38,,37556.6,,29651.4
688.28,,38749.9,,29650.6
688.18,,40791,,29649.7
688.08,,41442.4,,29648.8
687.98,,42379.4,,29647.6
687.88,,44843.7,,29646.4
687.78,,46292.3,,29645
687.68,,48008.1,,29643.4
